name,popular_tags
TERA,"Free to Play,MMORPG,Massively Multiplayer,RPG,Open World,Action,Fantasy,Adventure,Anime,Third Person,Character Customization,Action RPG,Multiplayer,Co-op,PvP,Hack and Slash,PvE,Cute,Controller,Nudity"
Call of Duty®: Modern Warfare® Remastered,"FPS,Action,Shooter,Multiplayer,Violent,War,Singleplayer,First-Person,Military,Remake,Controller,Casual,Classic"
Stonehearth,"City Builder,Building,Sandbox,Strategy,Survival,Simulation,Crafting,Voxel,Early Access,Indie,Singleplayer,Open World,RPG,Management,Multiplayer,Fantasy,Cute,Adventure,God Game,RTS"
Clone Drone in the Danger Zone,"Early Access,Robots,Action,Swordplay,Fighting,Early Access,Indie,Funny,Singleplayer,Voxel,Futuristic,Pixel Graphics,Multiplayer,Third Person,Comedy,Difficult,Survival,Dark Humor,Philisophical,Rogue-like"
GOD EATER 3,"Anime,Action,Character Customization,Co-op,Hunting,Hack and Slash,JRPG,Multiplayer,RPG,Singleplayer,Great Soundtrack,Post-apocalyptic,Online Co-Op,Third Person,Story Rich,Action RPG,Adventure,Female Protagonist"
War Robots,"Free to Play,Robots,Action,Multiplayer,FPS,Mechs,Massively Multiplayer,Shooter,PvP,Controller,Third-Person Shooter,Co-op,War"
Halo Wars: Definitive Edition,"Strategy,RTS,Sci-fi,Singleplayer,Multiplayer,War,Base Building,Action,Co-op,Great Soundtrack,Military,Simulation,Aliens,Classic,Masterpiece,Online Co-Op,Atmospheric,Sandbox,Tactical,Story Rich"
Call of Duty®: Black Ops,"Action,FPS,Zombies,Multiplayer,Shooter,Singleplayer,Cold War,First-Person,War,Military,Online Co-Op,Co-op,Gore,Story Rich,Adventure,Controller,Linear,Masterpiece,Horror,Massively Multiplayer"
Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,"Visual Novel,Story Rich,Great Soundtrack,Detective,Anime,Mystery,Adventure,Singleplayer,Funny,Classic,Puzzle,Crime,Point & Click,Comedy,Conversation,Dynamic Narration,Cult Classic,Casual,Sexual Content"
Team Sonic Racing™,"Racing,Multiplayer,Great Soundtrack,Team-Based,Fast-Paced,Co-op,Arcade,Local Co-Op,Local Multiplayer,Singleplayer,Action,Colorful,Adventure,Split Screen,Online Co-Op,Family Friendly,Funny,Memes,Anime,Casual"
Titan Quest Anniversary Edition,"RPG,Hack and Slash,Mythology,Action RPG,Loot,Multiplayer,Classic,Singleplayer,Co-op,Fantasy,Adventure,Action,Atmospheric,Isometric,Top-Down,Open World,Great Soundtrack,Story Rich,Level Editor,Female Protagonist"
Grand Theft Auto IV,"Open World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,Satire"
Portal,"Puzzle,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Funny,Physics,Action,Story Rich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,Dark Humor,Great Soundtrack"
Viscera Cleanup Detail,"Simulation,Gore,First-Person,Multiplayer,Co-op,Physics,Funny,Indie,Sci-fi,Masterpiece,Comedy,Space,Horror,Singleplayer,Walking Simulator,Casual,Blood,Parody,Sandbox,Adventure"
Neverwinter Nights: Enhanced Edition,"RPG,Dungeons & Dragons,Fantasy,Classic,CRPG,Multiplayer,Singleplayer,Character Customization,Co-op,Story Rich,Real-Time with Pause,Adventure,Moddable,Female Protagonist,Cult Classic"
Ni no Kuni™ II: Revenant Kingdom,"RPG,JRPG,Anime,Adventure,Singleplayer,Open World,Fantasy,Story Rich,Cute,Great Soundtrack,Action RPG,Dungeon Crawler,Hack and Slash,Action,Strategy,City Builder,Cartoony,Multiplayer,Survival,Co-op"
Tree of Savior (English Ver.),"MMORPG,Massively Multiplayer,Free to Play,RPG,Anime,Fantasy,Adventure,Cute,Great Soundtrack,Action,Multiplayer,JRPG,Open World,Isometric,Nudity,Co-op,Action RPG,Hack and Slash,Memes,Dating Sim"
Hellblade: Senua's Sacrifice,"Atmospheric,Psychological,Female Protagonist,Story Rich,Mythology,Singleplayer,Dark,Adventure,Third Person,Horror,Dark Fantasy,Action,Violent,Indie,Hack and Slash,Fantasy,Walking Simulator,Realistic,Action-Adventure,Blood"
Danganronpa 2: Goodbye Despair,"Anime,Detective,Visual Novel,Mystery,Story Rich,Great Soundtrack,Singleplayer,Adventure,Psychological Horror,Dark Comedy,Horror,Atmospheric,Memes,Puzzle,Comedy,Dark,Dating Sim,Mature,Funny,Walking Simulator"
Yakuza 0,"Story Rich,Action,Beat 'em up,Great Soundtrack,Open World,Crime,RPG,Violent,Minigames,Mature,Funny,Singleplayer,Adventure,Sexual Content,Comedy,Drama,Third Person,Atmospheric,Anime,Dating Sim"
The Escapists 2,"Multiplayer,Strategy,Pixel Graphics,Online Co-Op,Co-op,2D,Crafting,Singleplayer,Indie,Simulation,Stealth,Sandbox,Local Co-Op,Character Customization,Funny,Puzzle,Difficult,Action,Open World,Split Screen"
"Star Wars: Battlefront 2 (Classic, 2005)","Star Wars,Action,Multiplayer,Shooter,Third-Person Shooter,Sci-fi,Classic,Space,FPS,First-Person,Singleplayer,Moddable,Third Person,Military,Masterpiece,Tactical,Co-op,Strategy,Great Soundtrack,Adventure"
Wizard101,"Massively Multiplayer,RPG,Magic,Card Game,Free to Play,Family Friendly,MMORPG,Strategy,Fantasy,Turn-Based,Multiplayer,Adventure,Psychological Horror,Anime,Online Co-Op,Turn-Based Combat,Co-op,Great Soundtrack,Story Rich"
Life is Strange 2,"Choices Matter,Story Rich,Adventure,Great Soundtrack,Singleplayer,Atmospheric,Episodic,Drama,Sexual Content,Third Person,Choose Your Own Adventure,Walking Simulator,Mystery,Point & Click,Nudity,Indie,Visual Novel,Political,Action,Survival"
Kingdoms of Amalur: Reckoning™,"RPG,Fantasy,Open World,Singleplayer,Action RPG,Action,Adventure,Third Person,Loot,Story Rich,Magic,Character Customization,Hack and Slash,Exploration,Controller,Sandbox,Atmospheric,Crafting,Female Protagonist,Masterpiece"
"Warhammer 40,000: Dawn of War II: Retribution","Warhammer 40K,Strategy,RTS,Tactical,Sci-fi,Multiplayer,Games Workshop,Online Co-Op,Co-op,Real-Time,Singleplayer,Futuristic,Gore,RPG,Action,Great Soundtrack,Fantasy,Atmospheric,Masterpiece,Adventure"
GOD WARS The Complete Legend,"RPG,Adventure,Simulation,Tactical RPG,JRPG,Turn-Based,Anime"
Counter-Strike: Source,"Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,Sandbox"
The Evil Within,"Horror,Survival Horror,Psychological Horror,Gore,Atmospheric,Action,Singleplayer,Third Person,Survival,Zombies,Dark,Stealth,Adventure,Third-Person Shooter,Difficult,Cinematic,Shooter,Story Rich,Masterpiece,Walking Simulator"
Bright Memory(Early Access) / 光明记忆,"Early Access,FPS,Female Protagonist,Action,Adventure,Early Access,Indie,Gore,Violent,Hack and Slash,Singleplayer,Sci-fi,Shooter,Anime"
STAR WARS™ Empire at War - Gold Pack,"Strategy,Star Wars,RTS,Space,Sci-fi,Multiplayer,Singleplayer,Moddable,Tactical,Action,Mod,War,Great Soundtrack,Classic,Co-op,Grand Strategy,Simulation,4X,Adventure,Atmospheric"
Dishonored®: Death of the Outsider™,"Stealth,Action,First-Person,Steampunk,Female Protagonist,Singleplayer,Assassin,Atmospheric,Violent,Story Rich,Magic,Adventure,Open World,Dark,Choices Matter,Gore,Parkour,FPS,Immersive Sim,Fantasy"
Street Fighter V,"Fighting,Multiplayer,2D Fighter,Competitive,Arcade,Action,Local Multiplayer,e-sports,2.5D,Anime,Great Soundtrack,Controller,Singleplayer,Early Access,Classic,2D,Female Protagonist,Nudity,Memes,Funny"
The Jackbox Party Pack 2,"Local Multiplayer,Casual,Comedy,Indie,Local Co-Op,Strategy,Funny,Multiplayer,Board Game,Co-op,Family Friendly"
Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,"Early Access,Tanks,World War I,Indie,Simulation,Strategy,Action,Military,War,Management,Singleplayer,Tactical,Historical,Driving,3D,Destruction,Shooter,Sandbox,Casual,Survival"
Battlefleet Gothic: Armada 2,"Warhammer 40K,Strategy,Space,Real Time Tactics,RTS,Violent,Games Workshop,Sci-fi,Singleplayer,Co-op,Multiplayer"
RUNNING WITH RIFLES,"Action,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,Open World,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,Massively Multiplayer,Survival,Isometric,Adventure"
The Witcher: Enhanced Edition Director's Cut,"RPG,Fantasy,Story Rich,Mature,Singleplayer,Choices Matter,Third Person,Action,Nudity,Adventure,Based On A Novel,Dark Fantasy,Atmospheric,Masterpiece,Open World,Great Soundtrack,Multiple Endings,Medieval,Action RPG,Magic"
Middle-earth™: Shadow of War™,"Open World,Action,RPG,Fantasy,Singleplayer,Adventure,Violent,Third Person,Gore,Stealth,War,Story Rich,Action RPG,Dark Fantasy,Hack and Slash,Atmospheric,Magic,Medieval,Strategy,Great Soundtrack"
Forts,"Strategy,Base Building,Action,Multiplayer,RTS,Physics,Building,Singleplayer,Co-op,2D,Destruction,Sandbox,Indie,Resource Management,War,Tactical,Military,Tower Defense,Funny,Free to Play"
The Lord of the Rings Online™,"Free to Play,MMORPG,Massively Multiplayer,Fantasy,RPG,Open World,Adventure,Multiplayer,Based On A Novel,Action,Exploration,Character Customization,Story Rich,Co-op,Online Co-Op,Third Person,Survival,PvP,Singleplayer,Dark Fantasy"
Dungeon Munchies,"Early Access,Indie,Action,Early Access,Pixel Graphics,Adventure,Funny,Post-apocalyptic,Anime,Singleplayer,2D,Exploration,RPG,Bullet Hell,Comedy,Platformer"
Grand Theft Auto IV: Complete Edition,"Open World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,Satire"
Pillars of Eternity,"RPG,Fantasy,Isometric,Story Rich,Singleplayer,CRPG,Party-Based RPG,Real-Time with Pause,Adventure,Kickstarter,Atmospheric,Dark Fantasy,Open World,Exploration,Character Customization,Classic,Strategy,Great Soundtrack,Indie,Crowdfunded"
Graveyard Keeper,"Pixel Graphics,Crafting,RPG,Sandbox,Indie,Simulation,Medieval,Singleplayer,Dark Humor,Management,Adventure,Building,Agriculture,2D,Story Rich,Dark,Mystery,Fantasy,Gore,Violent"
The Elder Scrolls®: Legends™,"Free to Play,Card Game,Trading Card Game,Multiplayer,Strategy,Fantasy,Singleplayer,Great Soundtrack,Board Game,Story Rich,Atmospheric,Tactical,Nudity,Action,Dark Fantasy,Casual"
Northgard,"Strategy,City Builder,RTS,Resource Management,Multiplayer,Medieval,Real-Time,Survival,Simulation,Indie,Singleplayer,Mythology,War,Management,Co-op,4X,Early Access,Atmospheric,Adventure,Action"
Realm Royale,"Early Access,Battle Royale,Free to Play,Multiplayer,Shooter,Early Access,Survival,PvP,Third-Person Shooter,Action,Third Person,Competitive,FPS,Fantasy,Team-Based,Massively Multiplayer,Co-op,Open World,Online Co-Op,Memes"
Gang Beasts,"Funny,Multiplayer,Fighting,Local Multiplayer,Comedy,Physics,Action,Beat 'em up,Co-op,4 Player Local,Colorful,Third Person,Early Access,Indie,Casual,Singleplayer,Adventure,Great Soundtrack,Sandbox,Simulation"
Total War: MEDIEVAL II – Definitive Edition,"Strategy,Medieval,Historical,Turn-Based Strategy,Grand Strategy,War,RTS,Tactical,Singleplayer,Multiplayer,Moddable,Military,Turn-Based,Real Time Tactics,Classic,Simulation,Action,Masterpiece,Great Soundtrack,Sandbox"
Tales of Vesperia: Definitive Edition,"JRPG,RPG,Anime,Singleplayer,Story Rich,Action RPG,Local Co-Op,Adventure,Great Soundtrack,Fantasy,Action,Open World,Classic"
FINAL FANTASY X/X-2 HD Remaster,"JRPG,Story Rich,RPG,Turn-Based Combat,Great Soundtrack,Fantasy,Singleplayer,Classic,Adventure,Turn-Based,Atmospheric,Romance,Female Protagonist,Anime,Open World,Linear,Action,Remake,Masterpiece,Sports"
Return of the Obra Dinn,"Detective,Mystery,Story Rich,Singleplayer,Atmospheric,Puzzle,Indie,Adventure,Multiple Endings,Historical,Great Soundtrack,Violent,Difficult,Retro,Pirates,Naval,First-Person,Horror,Noir,Walking Simulator"
Castle Crashers®,"Co-op,Action,Multiplayer,Adventure,Local Co-Op,Funny,Beat 'em up,Online Co-Op,Indie,Comedy,Hack and Slash,2D,RPG,Local Multiplayer,Controller,Casual,Great Soundtrack,Fantasy,Side Scroller,Action RPG"
Call of Duty®: WWII,"World War II,FPS,Multiplayer,War,Action,Zombies,Shooter,First-Person,Singleplayer,Co-op,Violent,Gore,Historical,Story Rich,Horror,Psychological Horror,Massively Multiplayer,Female Protagonist,Open World,Heist"
MudRunner,"Offroad,Simulation,Driving,Realistic,Multiplayer,Physics,Open World,Co-op,Racing,Online Co-Op,Sandbox,Moddable,Atmospheric,Singleplayer,Mod,Exploration,Adventure,First-Person,Third Person,VR"
Keep Talking and Nobody Explodes,"Co-op,Puzzle,Local Co-Op,VR,Multiplayer,Indie,Difficult,Local Multiplayer,Team-Based,Family Friendly,First-Person,Fast-Paced,Funny,Simulation,Action,Atmospheric,Strategy,Asymmetric VR,Psychological Horror,Great Soundtrack"
SPORE™,"Simulation,Sandbox,Open World,Exploration,Space,Adventure,God Game,Singleplayer,Aliens,Strategy,Sci-fi,Funny,Science,Family Friendly,Multiplayer,Action,RPG,Casual,Comedy,RTS"
Contra Anniversary Collection,"Action,2D,Classic,Platformer,Side Scroller,Shooter,Difficult"
Fishing Planet,"Fishing,Free to Play,Simulation,Multiplayer,Sports,Relaxing,Realistic,Massively Multiplayer,First-Person,Co-op,Early Access,Open World,Singleplayer,Online Co-Op,Family Friendly,Casual,Adventure,FPS,Action,MMORPG"
Just Cause™ 3,"Open World,Action,Destruction,Third-Person Shooter,Adventure,Singleplayer,Shooter,Multiplayer,Third Person,Sandbox,Exploration,Physics,Funny,Atmospheric,Comedy,Parkour,Great Soundtrack,Co-op,Moddable,RPG"
BioShock Infinite,"FPS,Story Rich,Action,Singleplayer,Steampunk,Atmospheric,Masterpiece,Shooter,First-Person,Alternate History,Beautiful,Adventure,Great Soundtrack,Dystopian,Sci-fi,Time Travel,Fantasy,Gore,Linear,RPG"
Men of War: Assault Squad 2,"Strategy,World War II,War,RTS,Simulation,Tactical,Action,Military,Multiplayer,Real Time Tactics,Realistic,Tanks,Historical,Co-op,Destruction,Singleplayer,Atmospheric,Masterpiece,Difficult,Classic"
Dungeons & Dragons Online®,"Free to Play,RPG,MMORPG,Massively Multiplayer,Fantasy,Action,Adventure,Dragons,Multiplayer,Open World,Magic,Dungeons & Dragons,Third Person,Co-op,Character Customization,Dungeon Crawler,Puzzle,Sandbox,FPS,Online Co-Op"
JUMP FORCE,"Fighting,Anime,Action,Multiplayer,Character Customization,Singleplayer,Local Multiplayer,RPG,Open World,Casual,Story Rich,Beat 'em up,Sandbox,Great Soundtrack,Controller,Massively Multiplayer,Violent,FPS,Fantasy,Nudity"
Desert Skies,"Early Access,Indie,Action,Adventure,Early Access,Survival,Crafting,Western,First-Person,Building,Stealth,Base Building"
Ring of Elysium,"Early Access,Free to Play,Battle Royale,Shooter,Multiplayer,Survival,Early Access,Action,Massively Multiplayer,FPS,Third-Person Shooter,Open World,PvP,Co-op,First-Person,Tactical,Violent,Sandbox,Gore,Destruction"
Super Neptunia RPG / 勇者ネプテューヌ /勇者戰幾少女,"RPG,Anime,JRPG,Female Protagonist,Action,Adventure,Cute,Side Scroller,2D"
METAL GEAR SOLID V: THE PHANTOM PAIN,"Stealth,Open World,Story Rich,Action,Tactical,Cinematic,Great Soundtrack,Third Person,Singleplayer,Atmospheric,Horses,Multiplayer,Adventure,Third-Person Shooter,Shooter,Replay Value,Sandbox,Masterpiece,Dark,Sci-fi"
TEKKEN 7,"Fighting,Multiplayer,Action,Competitive,Arcade,Local Multiplayer,Great Soundtrack,Singleplayer,e-sports,Controller,Difficult,Anime,Character Customization,Story Rich,Beat 'em up,Sports,Nudity,Atmospheric,Sexual Content,Third Person"
Golf It!,"Early Access,Mini Golf,Golf,Multiplayer,Casual,Sports,Early Access,Funny,Simulation,Indie,Online Co-Op,Level Editor,Singleplayer,Sandbox,Local Multiplayer,Memes,Difficult,Strategy,Family Friendly,Co-op"
Shadow Tactics: Blades of the Shogun,"Stealth,Tactical,Ninja,Strategy,Real Time Tactics,Singleplayer,Action,Historical,Isometric,RTS,Indie,Assassin,Difficult,Violent,Atmospheric,Third Person,Survival,Adventure,Great Soundtrack,Nudity"
Heroes & Generals,"Free to Play,World War II,FPS,Multiplayer,War,Shooter,Action,First-Person,Massively Multiplayer,Tactical,Strategy,Co-op,Historical,Open World,Singleplayer,Simulation,Atmospheric,Adventure,Early Access,Indie"
Ultimate Doom,"Classic,FPS,Action,1990's,Great Soundtrack,Demons,Moddable,Masterpiece,Retro,Singleplayer,Shooter,Gore,Sci-fi,First-Person,Old School,Fast-Paced,Violent,Multiplayer,2.5D,Difficult"
GORN,"Early Access,VR,Violent,Gore,Early Access,Action,Indie,Funny,Fighting,Blood,First-Person,Local Multiplayer,Singleplayer,Swordplay,Medieval,Sexual Content"
DRAGON BALL FighterZ,"Fighting,Anime,2D Fighter,Multiplayer,Action,Competitive,Local Multiplayer,Great Soundtrack,Controller,2.5D,Singleplayer,Arcade,Story Rich,Difficult,e-sports,Fast-Paced,Beat 'em up,Dragons,Adventure,Open World"
Fantasy Grounds,"RPG,Strategy,Software,Indie,Turn-Based,Fantasy,Dungeons & Dragons,Online Co-Op,Utilities,Sandbox,Story Rich,Game Development,Party-Based RPG,Multiplayer,Old School"
DRAGON BALL XENOVERSE 2,"Anime,Fighting,Action,Character Customization,Multiplayer,Adventure,Massively Multiplayer,Co-op,RPG,Singleplayer,Online Co-Op,Third Person,Open World,Story Rich,Beat 'em up,MMORPG,Great Soundtrack,Dragons,Casual,Moddable"
Frostpunk,"City Builder,Survival,Strategy,Building,Steampunk,Post-apocalyptic,Resource Management,Singleplayer,Management,Base Building,Choices Matter,Atmospheric,Economy,Simulation,Dark,Difficult,RTS,Real-Time with Pause,Indie,Great Soundtrack"
Universe Sandbox ²,"Early Access,Space,Sandbox,Simulation,Physics,Science,Destruction,Education,Realistic,Early Access,God Game,Singleplayer,Open World,Indie,Atmospheric,Casual,VR,Great Soundtrack,Sci-fi,Exploration"
Shadowverse CCG,"Free to Play,Card Game,Anime,Strategy,Trading Card Game,Multiplayer,Fantasy,Turn-Based,Sexual Content,Competitive,Nudity,Singleplayer,JRPG,Casual,Adventure,MMORPG,PvP,Psychological Horror,Action,Cute"
Fable Anniversary,"RPG,Masterpiece,Classic,Fantasy,Adventure,Open World,Singleplayer,Remake,Atmospheric,Action RPG,Third Person,Story Rich,Choices Matter,Action,Comedy,Great Soundtrack,Character Customization,Medieval,Magic,Sandbox"
Baldur's Gate II: Enhanced Edition,"RPG,Classic,Fantasy,Isometric,Party-Based RPG,Dungeons & Dragons,Real-Time with Pause,Strategy,Story Rich,Masterpiece,CRPG,Singleplayer,Adventure,Old School,Character Customization,Magic,Atmospheric,Multiplayer,Remake,Romance"
Freestyle 2: Street Basketball,"Free to Play,Basketball,Sports,Multiplayer,Massively Multiplayer,Action,Co-op,Casual,Competitive,Strategy,Simulation,Singleplayer,e-sports,Controller,Anime,Funny,Great Soundtrack,Open World,FPS,2D"
PC Building Simulator,"Simulation,Building,Singleplayer,Education,Realistic,Sandbox,Indie,First-Person,Relaxing,Casual,Management,Early Access,Puzzle,Funny,Great Soundtrack,Replay Value,Atmospheric,Multiplayer,VR,Design & Illustration"
Battle Brothers,"Strategy,Turn-Based Combat,Medieval,RPG,Turn-Based Tactics,Open World,Turn-Based,Difficult,Sandbox,Singleplayer,Indie,Tactical,Procedural Generation,Perma Death,Replay Value,Fantasy,Turn-Based Strategy,Rogue-like,CRPG,Early Access"
The Surge,"Souls-like,Action,RPG,Sci-fi,Difficult,Third Person,Singleplayer,Mechs,Violent,Hack and Slash,Robots,Open World,Exploration,Cyberpunk,Adventure,Gore,Action RPG,Horror,Futuristic,Great Soundtrack"
Total War Saga: THRONES OF BRITANNIA,"Strategy,Historical,RTS,Turn-Based Strategy,Medieval,Action,Multiplayer,Singleplayer,War,Grand Strategy,Co-op,Tactical,Atmospheric,Turn-Based"
Parkitect,"Management,Building,Simulation,Sandbox,Indie,Singleplayer,City Builder,Resource Management,Early Access,Moddable,Isometric,Strategy,Funny,Economy,Family Friendly,Relaxing,Colorful,Great Soundtrack,Casual"
Between the Stars,"Early Access,Space,Action,RPG,Simulation,Indie,Early Access,Adventure,Space Sim,Singleplayer,Sandbox,Strategy,Sci-fi,Rogue-lite,3D,Tactical RPG,Rogue-like,Open World,Survival,Action RPG"
ShellShock Live,"Early Access,Tanks,Multiplayer,2D,Strategy,Action,Early Access,Turn-Based,Casual,Shooter,Massively Multiplayer,Online Co-Op,Indie,Colorful,Funny,Turn-Based Strategy,Co-op,Singleplayer,Great Soundtrack,Physics"
Endless Legend™,"Strategy,4X,Turn-Based,Turn-Based Strategy,Fantasy,Hex Grid,Multiplayer,Singleplayer,Great Soundtrack,RPG,Sci-fi,Indie,Tactical,Adventure,Grand Strategy,Medieval,Atmospheric,Open World,Exploration,Sandbox"
Devolver Bootleg,"Indie,Casual,Action,Gore,Violent,Adventure,Sports,Pixel Graphics,Memes,Retro,2D,Side Scroller,Controller,Cute,Great Soundtrack"
DiRT Rally 2.0,"Racing,Simulation,Realistic,Driving,Offroad,Sports,Difficult,Singleplayer,Multiplayer,First-Person,VR,3D Vision,TrackIR,Open World"
Attack on Titan 2 - A.O.T.2 - 進撃の巨人２,"Anime,Action,Character Customization,Multiplayer,Gore,RPG,Open World,Nudity,Adventure,Horror,Co-op,Sexual Content,Singleplayer,Online Co-Op,Third Person"
Warface,"Free to Play,FPS,Multiplayer,Shooter,Action,Co-op,First-Person,Online Co-Op,War,PvP,Military,Massively Multiplayer,Team-Based,Tactical,Zombies,Open World,Adventure,Strategy,Simulation,Great Soundtrack"
Assassin's Creed® Origins,"Open World,Assassin,Action,RPG,Parkour,Stealth,Adventure,Historical,Third Person,Singleplayer,Story Rich,Action RPG,Exploration,Atmospheric,Multiplayer,Sandbox,Great Soundtrack,Illuminati,Walking Simulator,Heist"
House Party,"Early Access,Sexual Content,Nudity,Mature,NSFW,Dating Sim,Simulation,First-Person,Early Access,Singleplayer,Indie,Funny,Comedy,Story Rich,Casual,Choices Matter,Sandbox,Puzzle,RPG,Great Soundtrack"
Empyrion - Galactic Survival,"Early Access,Survival,Open World,Space,Building,Sandbox,Multiplayer,Crafting,Exploration,Sci-fi,Early Access,Adventure,Co-op,Singleplayer,Simulation,First-Person,Aliens,Strategy,Indie,Action"
WWE 2K19,"Sports,Wrestling,Simulation,Fighting,Character Customization,Multiplayer,Singleplayer,Co-op,Action,Violent"
Dragon's Dogma: Dark Arisen,"RPG,Open World,Character Customization,Fantasy,Action,Adventure,Singleplayer,Action RPG,Dragons,Dark Fantasy,Third Person,Magic,Exploration,Great Soundtrack,Atmospheric,Story Rich,Difficult,JRPG,Multiplayer,Hack and Slash"
"Warhammer 40,000: Gladius - Relics of War","Strategy,Warhammer 40K,Turn-Based Strategy,4X,Sci-fi,Turn-Based,Hex Grid,Turn-Based Tactics,Multiplayer,Wargame,War,Tactical,Singleplayer,Turn-Based Combat,Co-op,Grand Strategy,Replay Value,Great Soundtrack,Artificial Intelligence,Military"
Scrap Mechanic,"Early Access,Building,Sandbox,Multiplayer,Open World,Physics,Early Access,Singleplayer,Funny,First-Person,Simulation,Co-op,Third Person,Adventure,Crafting,Survival,Action,Indie,Racing,Atmospheric"
Generation Zero,"Open World,Survival,Co-op,Multiplayer,FPS,Adventure,Robots,Action,Singleplayer,Post-apocalyptic,1980s,Sci-fi,Online Co-Op,First-Person,Mechs,Stealth,Atmospheric,Horror,Great Soundtrack,Nudity"
Total War: ATTILA,"Strategy,Historical,War,Turn-Based Strategy,Grand Strategy,RTS,Tactical,Multiplayer,Rome,Singleplayer,Real Time Tactics,Medieval,Atmospheric,Co-op,Action,Turn-Based,Open World,Simulation,Survival,Adventure"
Prison Architect,"Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Indie,2D,Resource Management,Base Building,Economy,Top-Down,Moddable,City Builder,Replay Value,Early Access,Casual,Funny,Action,Comedy"
Eco,"Early Access,Survival,Open World,Multiplayer,Building,Crafting,Simulation,Sandbox,Adventure,Co-op,Economy,Exploration,Indie,Early Access,Realistic,Online Co-Op,Education,Singleplayer,First-Person,Base Building"
Thief Simulator,"Simulation,Stealth,Crime,Adventure,First-Person,Singleplayer,Action,Open World,Indie,Sandbox,Realistic,Heist,Funny,Strategy,Atmospheric,Exploration,Walking Simulator,Silent Protagonist,Casual,Multiplayer"
